Station, Lat, Long, Depth, Temp, Sal
1, -3.832, 187.165, 226.968, 13.2352, 35.0086
1, -3.832, 187.165, 228.019, 13.2054, 35.0009
1, -3.832, 187.165, 228.979, 13.1713, 34.9989
1, -3.832, 187.165, 229.975, 13.1183, 34.9984
1, -3.832, 187.165, 231.001, 13.0642, 34.999
1, -3.832, 187.165, 232.031, 13.0518, 34.9844
1, -3.832, 187.165, 232.943, 12.9708, 34.9811
1, -3.832, 187.165, 233.914, 12.8889, 34.984
1, -3.832, 187.165, 235.017, 12.8498, 34.9783
1, -3.832, 187.165, 236.081, 12.8467, 34.9603
1, -3.832, 187.165, 236.924, 12.6961, 34.9672
1, -3.832, 187.165, 237.964, 12.6513, 34.9514
1, -3.832, 187.165, 239.026, 12.5863, 34.9515
1, -3.832, 187.165, 240.082, 12.5314, 34.9433
1, -3.832, 187.165, 241.083, 12.4502, 34.9316
1, -3.832, 187.165, 242.013, 12.2982, 34.943
1, -3.832, 187.165, 243.043, 12.2664, 34.9176
1, -3.832, 187.165, 243.948, 12.1884, 34.9118
1, -3.832, 187.165, 244.988, 12.0362, 34.9152
1, -3.832, 187.165, 246.026, 12, 34.8903
1, -3.832, 187.165, 246.991, 11.955, 34.8865
1, -3.832, 187.165, 247.976, 11.8808, 34.8867
1, -3.832, 187.165, 248.943, 11.7713, 34.8942
1, -3.832, 187.165, 250.033, 11.7144, 34.8842
1, -3.832, 187.165, 250.882, 11.6059, 34.8635
1, -3.832, 187.165, 251.926, 11.3987, 34.8563
1, -3.832, 187.165, 252.964, 11.3631, 34.8488
1, -3.832, 187.165, 253.967, 11.3608, 34.8361
1, -3.832, 187.165, 254.883, 11.3324, 34.8353
1, -3.832, 187.165, 255.945, 11.2779, 34.839
1, -3.832, 187.165, 257.087, 11.2171, 34.8429
1, -3.832, 187.165, 258.266, 11.1928, 34.8292
1, -3.832, 187.165, 258.812, 11.1278, 34.8254
1, -3.832, 187.165, 260.013, 11.1015, 34.816
1, -3.832, 187.165, 260.925, 11.0934, 34.815
1, -3.832, 187.165, 261.989, 11.0641, 34.8192
1, -3.832, 187.165, 263.067, 11.0336, 34.821
1, -3.832, 187.165, 264.072, 11.0114, 34.8196
1, -3.832, 187.165, 265.061, 10.9938, 34.817
1, -3.832, 187.165, 266.025, 10.9597, 34.8125
1, -3.832, 187.165, 267.063, 10.9139, 34.8
1, -3.832, 187.165, 267.899, 10.8939, 34.8012
1, -3.832, 187.165, 268.974, 10.8548, 34.8036
1, -3.832, 187.165, 270.032, 10.8109, 34.8051
1, -3.832, 187.165, 270.996, 10.7751, 34.8051
1, -3.832, 187.165, 271.995, 10.7538, 34.7997
1, -3.832, 187.165, 273.068, 10.7426, 34.7962
1, -3.832, 187.165, 274.114, 10.7368, 34.7921
1, -3.832, 187.165, 274.991, 10.7106, 34.789
1, -3.832, 187.165, 276.069, 10.7051, 34.7879
1, -3.832, 187.165, 276.952, 10.6934, 34.7903
1, -3.832, 187.165, 277.857, 10.6877, 34.7889
1, -3.832, 187.165, 278.95, 10.682, 34.7873
1, -3.832, 187.165, 279.924, 10.6738, 34.7874
1, -3.832, 187.165, 281.006, 10.6668, 34.787
1, -3.832, 187.165, 281.958, 10.6568, 34.7837
1, -3.832, 187.165, 283.006, 10.61, 34.7849
1, -3.832, 187.165, 284.021, 10.5997, 34.7803
1, -3.832, 187.165, 284.967, 10.5852, 34.7801
1, -3.832, 187.165, 285.912, 10.5838, 34.7753
1, -3.832, 187.165, 286.941, 10.5644, 34.7764
1, -3.832, 187.165, 287.963, 10.5375, 34.778
1, -3.832, 187.165, 289.074, 10.5127, 34.7789
1, -3.832, 187.165, 290.259, 10.5083, 34.7714
1, -3.832, 187.165, 290.828, 10.4578, 34.7717
1, -3.832, 187.165, 291.911, 10.4511, 34.7689
1, -3.832, 187.165, 292.986, 10.4459, 34.7689
1, -3.832, 187.165, 294.148, 10.4418, 34.7682
1, -3.832, 187.165, 295.082, 10.4379, 34.7676
1, -3.832, 187.165, 296.026, 10.4304, 34.7665
1, -3.832, 187.165, 296.939, 10.41, 34.7669
1, -3.832, 187.165, 297.977, 10.3977, 34.7654
1, -3.832, 187.165, 298.959, 10.3972, 34.763
1, -3.832, 187.165, 300.031, 10.3893, 34.7632
1, -3.832, 187.165, 301.031, 10.3763, 34.7637
1, -3.832, 187.165, 302.004, 10.3638, 34.7632
1, -3.832, 187.165, 302.995, 10.3523, 34.7625
1, -3.832, 187.165, 304.079, 10.3458, 34.7605
1, -3.832, 187.165, 304.912, 10.3343, 34.7601
1, -3.832, 187.165, 305.955, 10.3255, 34.7604
1, -3.832, 187.165, 306.94, 10.3336, 34.7576
1, -3.832, 187.165, 308.05, 10.3312, 34.7579
1, -3.832, 187.165, 309.053, 10.3235, 34.7572
1, -3.832, 187.165, 309.955, 10.3096, 34.7573
1, -3.832, 187.165, 311.022, 10.2817, 34.7596
1, -3.832, 187.165, 312.149, 10.279, 34.753
1, -3.832, 187.165, 312.815, 10.2428, 34.7533
1, -3.832, 187.165, 313.941, 10.2373, 34.7502
1, -3.832, 187.165, 315.056, 10.2233, 34.7506
1, -3.832, 187.165, 316.032, 10.2076, 34.7504
1, -3.832, 187.165, 316.956, 10.1925, 34.7494
1, -3.832, 187.165, 318.01, 10.1723, 34.7477
1, -3.832, 187.165, 319.063, 10.1475, 34.7477
1, -3.832, 187.165, 320.082, 10.1404, 34.7445
1, -3.832, 187.165, 320.889, 10.135, 34.7436
1, -3.832, 187.165, 322.052, 10.1304, 34.7424
1, -3.832, 187.165, 323.015, 10.1206, 34.743
1, -3.832, 187.165, 324.054, 10.1096, 34.7429
1, -3.832, 187.165, 325.045, 10.1048, 34.7411
1, -3.832, 187.165, 325.948, 10.1004, 34.7398
1, -3.832, 187.165, 327.01, 10.085, 34.7413
1, -3.832, 187.165, 328.032, 10.0788, 34.7399
1, -3.832, 187.165, 328.99, 10.0724, 34.7386
1, -3.832, 187.165, 330.003, 10.0648, 34.7372
1, -3.832, 187.165, 331.03, 10.0617, 34.7371
1, -3.832, 187.165, 332.081, 10.0557, 34.7375
1, -3.832, 187.165, 333.142, 10.0491, 34.7379
1, -3.832, 187.165, 334.067, 10.046, 34.7376
1, -3.832, 187.165, 335.129, 10.0396, 34.736
1, -3.832, 187.165, 336.032, 10.0229, 34.7333
1, -3.832, 187.165, 337.04, 10.021, 34.7322
1, -3.832, 187.165, 337.957, 10.0104, 34.7323
1, -3.832, 187.165, 338.943, 9.9917, 34.7327
1, -3.832, 187.165, 339.976, 9.9634, 34.7348
1, -3.832, 187.165, 341.073, 9.9505, 34.7303
1, -3.832, 187.165, 341.897, 9.9363, 34.73
1, -3.832, 187.165, 343.02, 9.9382, 34.7266
1, -3.832, 187.165, 344.018, 9.924, 34.7287
1, -3.832, 187.165, 345.018, 9.9109, 34.7283
1, -3.832, 187.165, 346.076, 9.8991, 34.7271
1, -3.832, 187.165, 347.055, 9.887, 34.7265
1, -3.832, 187.165, 348.065, 9.8766, 34.7261
1, -3.832, 187.165, 349.023, 9.8727, 34.7256
1, -3.832, 187.165, 350, 9.8735, 34.7246
1, -3.832, 187.165, 351.035, 9.8696, 34.725
1, -3.832, 187.165, 352.033, 9.8648, 34.725
1, -3.832, 187.165, 352.991, 9.8595, 34.725
1, -3.832, 187.165, 354.005, 9.8569, 34.7245
1, -3.832, 187.165, 354.987, 9.8539, 34.7248
1, -3.832, 187.165, 355.946, 9.8527, 34.7242
1, -3.832, 187.165, 356.974, 9.8505, 34.724
1, -3.832, 187.165, 358.053, 9.8465, 34.724
1, -3.832, 187.165, 358.96, 9.8451, 34.7239
1, -3.832, 187.165, 359.974, 9.8473, 34.723
1, -3.832, 187.165, 361.045, 9.8411, 34.7229
1, -3.832, 187.165, 362.071, 9.826, 34.7251
1, -3.832, 187.165, 363.1, 9.8257, 34.7219
1, -3.832, 187.165, 363.894, 9.8119, 34.723
