Lat, Long, Depth, Temp, Sal
-1.698, 185.663, 107.4901, 27.68388, 35.35997
-1.698, 185.663, 117.5118, 27.2706, 35.40035
-1.698, 185.663, 127.5274, 26.36482, 35.51559
-1.698, 185.663, 137.5064, 25.38171, 35.6725
-1.698, 185.663, 147.9847273, 23.62100909, 35.74691818
-1.698, 185.663, 158.003, 21.22406667, 35.69128889
-1.698, 185.663, 167.4789, 18.01861, 35.43679
-1.698, 185.663, 177.5049, 15.91922, 35.25263
-1.698, 185.663, 188.0222727, 15.03643636, 35.16782727
-1.698, 185.663, 198.0073333, 14.06563333, 35.08735556
-1.698, 185.663, 207.489, 13.25404, 35.0114
-1.698, 185.663, 217.5011, 12.33918, 34.92334
-1.698, 185.663, 227.5051, 12.05101, 34.8907
-1.698, 185.663, 237.9628182, 11.85749091, 34.8698
-1.698, 185.663, 248.4596, 11.45797, 34.83958
-1.698, 185.663, 258.0116667, 11.1898, 34.81677778
-1.698, 185.663, 268.0082727, 11.00517273, 34.79691818
-1.698, 185.663, 278.4965, 10.91391, 34.78782
-1.698, 185.663, 288.4766, 10.82943, 34.7812
-1.698, 185.663, 298.0032222, 10.7578, 34.77745556
-1.698, 185.663, 308.0008182, 10.69306364, 34.77324545
-1.698, 185.663, 317.9967778, 10.6305, 34.76886667
-1.698, 185.663, 328.0207273, 10.53746364, 34.76286364
-1.698, 185.663, 337.9774444, 10.45638889, 34.75721111
-1.698, 185.663, 347.505, 10.36282, 34.75231
-1.698, 185.663, 357.9865455, 10.3097, 34.74835455
-1.698, 185.663, 368.4883, 10.26747, 34.74482
-1.698, 185.663, 378.0243333, 10.11723333, 34.73661111
-1.698, 185.663, 387.9997273, 10.03718182, 34.731
-1.698, 185.663, 398.4794, 10.00506, 34.72908
-1.698, 185.663, 408.5174, 9.9631, 34.7264
-1.698, 185.663, 418.0437778, 9.918622222, 34.7238
-1.698, 185.663, 427.9837273, 9.900681818, 34.72219091
-1.698, 185.663, 438.4675, 9.82491, 34.7187
-1.698, 185.663, 448.5039, 9.66125, 34.71098
-1.698, 185.663, 458.5119, 9.49025, 34.70027
-1.698, 185.663, 468.0064444, 9.309311111, 34.69137778
-1.698, 185.663, 477.4854, 9.14553, 34.68247
-1.698, 185.663, 487.5178, 8.87907, 34.67003
-1.698, 185.663, 497.9773636, 8.544936364, 34.65418182
-1.698, 185.663, 508.5061, 8.22567, 34.63552
-1.698, 185.663, 517.9706667, 7.931677778, 34.61763333
-1.698, 185.663, 527.9940909, 7.694672727, 34.60447273
-1.698, 185.663, 538.0086667, 7.3491, 34.58672222
-1.698, 185.663, 548.0092727, 7.065054545, 34.57545455
-1.698, 185.663, 558.0053333, 6.8771, 34.56884444
-1.698, 185.663, 567.9961818, 6.839990909, 34.56967273
-1.698, 185.663, 578.4993, 6.80981, 34.5691
-1.698, 185.663, 587.9776667, 6.806177778, 34.56875556
-1.42, 185.498, 18.5038, 30.33326, 34.60088
-1.42, 185.498, 27.99655556, 30.32594444, 34.61071111
-1.42, 185.498, 37.5129, 30.30283, 34.61016
-1.42, 185.498, 47.539, 30.26442, 34.62369
-1.42, 185.498, 57.5348, 30.19545, 34.64298
-1.42, 185.498, 67.99218182, 30.23504545, 34.74376364
-1.42, 185.498, 78.01722222, 30.18125556, 35.27101111
-1.42, 185.498, 87.4733, 28.81018, 35.41712
-1.42, 185.498, 97.99054545, 28.03610909, 35.3664
-1.42, 185.498, 108.5243, 27.04076, 35.32924
-1.42, 185.498, 118.4522, 26.32842, 35.42476
-1.42, 185.498, 128.5506, 25.26044, 35.61465
-1.42, 185.498, 138.4725, 24.00298, 35.74453
-1.42, 185.498, 148.5002, 22.04555, 35.7537
-1.42, 185.498, 158.5156, 19.01834, 35.53435
-1.42, 185.498, 168.4953, 16.45026, 35.30737
-1.42, 185.498, 178.0022222, 14.53516667, 35.1287
-1.42, 185.498, 187.4945, 13.74376, 35.05359
-1.42, 185.498, 197.4983, 13.39852, 35.01917
-1.42, 185.498, 207.5175, 13.01891, 34.98051
